epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2694.17,0.67905,0.50605,0.97505,0.89047,0.72815,0.79883,0.65757,0.56832,0.45193,0.91001,0.00021387,0.00021387,0.00021387
89,2724.13,0.65628,0.47461,0.95801,0.91764,0.7324,0.80534,0.65394,0.57789,0.46,0.9089,0.00021288,0.00021288,0.00021288
90,2754.87,0.68011,0.4972,0.98437,0.89935,0.7306,0.80026,0.65802,0.56849,0.44881,0.90809,0.00021189,0.00021189,0.00021189
91,2785.55,0.65427,0.4828,0.9682,0.93121,0.71242,0.80193,0.65263,0.57761,0.46282,0.90639,0.0002109,0.0002109,0.0002109
92,2815.13,0.66582,0.48851,0.96352,0.91844,0.72793,0.80342,0.65985,0.55626,0.45913,0.89592,0.00020991,0.00020991,0.00020991
93,2844.59,0.64377,0.4676,0.95095,0.9206,0.73813,0.80952,0.66657,0.55896,0.45223,0.90433,0.00020892,0.00020892,0.00020892
94,2875.31,0.66223,0.48385,0.97022,0.93424,0.70735,0.80213,0.66041,0.56486,0.45599,0.90066,0.00020793,0.00020793,0.00020793
95,2905.34,0.6705,0.47952,0.95245,0.9256,0.73257,0.81514,0.67341,0.56009,0.4583,0.90131,0.00020694,0.00020694,0.00020694
96,2935.72,0.66041,0.48413,0.9649,0.91528,0.73887,0.80164,0.66911,0.52768,0.45007,0.8842,0.00020595,0.00020595,0.00020595
97,2965.21,0.66391,0.49447,0.96458,0.94266,0.71722,0.80365,0.66626,0.54435,0.44762,0.89214,0.00020496,0.00020496,0.00020496
98,2995.52,0.65728,0.4844,0.9697,0.92833,0.72623,0.81102,0.6715,0.5477,0.43381,0.9163,0.00020397,0.00020397,0.00020397
99,3025.41,0.661,0.47634,0.96205,0.92142,0.73159,0.81316,0.68195,0.53187,0.44405,0.8996,0.00020298,0.00020298,0.00020298
100,3057.52,0.6481,0.46894,0.95068,0.94538,0.71331,0.81434,0.67635,0.5436,0.44324,0.89941,0.00020199,0.00020199,0.00020199
101,3086.82,0.6392,0.45825,0.94684,0.92902,0.7427,0.8185,0.67371,0.56976,0.44818,0.90915,0.000201,0.000201,0.000201
102,3116.95,0.639,0.45929,0.95129,0.94612,0.73161,0.81944,0.67262,0.56598,0.44187,0.90709,0.00020001,0.00020001,0.00020001
103,3147.24,0.63446,0.46336,0.95495,0.92274,0.72807,0.81276,0.67587,0.52985,0.44456,0.88988,0.00019902,0.00019902,0.00019902
