epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,3232.99,0.34249,0.25018,0.84437,0.93261,0.7559,0.84044,0.7287,0.42967,0.35485,0.86368,0.000195307,0.000195307,0.000195307
143,3255.74,0.34574,0.2537,0.84222,0.94973,0.75113,0.84354,0.73061,0.43935,0.36431,0.87265,0.000194565,0.000194565,0.000194565
144,3278.52,0.3424,0.25042,0.84174,0.95038,0.74982,0.83987,0.73103,0.42261,0.3592,0.8684,0.000193822,0.000193822,0.000193822
145,3301.41,0.34251,0.24846,0.84049,0.94297,0.75325,0.84152,0.732,0.42827,0.36278,0.86963,0.00019308,0.00019308,0.00019308
146,3324.23,0.34574,0.24772,0.84118,0.92929,0.74382,0.8362,0.72374,0.43821,0.34972,0.86814,0.000192337,0.000192337,0.000192337
147,3347,0.34547,0.25069,0.84224,0.93252,0.75726,0.84382,0.73097,0.4296,0.33736,0.8651,0.000191595,0.000191595,0.000191595
148,3369.76,0.35256,0.25235,0.84391,0.92319,0.7732,0.8461,0.73178,0.41939,0.34337,0.86516,0.000190852,0.000190852,0.000190852
149,3392.59,0.35135,0.25196,0.8454,0.94949,0.7511,0.84538,0.72873,0.42834,0.35026,0.86881,0.00019011,0.00019011,0.00019011
150,3415.32,0.34101,0.24809,0.84058,0.94057,0.76413,0.85444,0.73917,0.42743,0.35168,0.8673,0.000189367,0.000189367,0.000189367
151,3438.88,0.33658,0.24562,0.84216,0.95404,0.74617,0.84162,0.73687,0.4297,0.35693,0.86816,0.000188625,0.000188625,0.000188625
152,3461.62,0.33394,0.24501,0.84665,0.951,0.74756,0.84237,0.73083,0.43436,0.35249,0.87287,0.000187882,0.000187882,0.000187882
153,3484.3,0.34981,0.25652,0.84392,0.94713,0.74935,0.84291,0.72643,0.43282,0.34742,0.8777,0.00018714,0.00018714,0.00018714
154,3507.04,0.33868,0.24777,0.83807,0.94042,0.75965,0.84648,0.73071,0.43524,0.35312,0.87658,0.000186397,0.000186397,0.000186397
155,3529.74,0.33335,0.23996,0.8379,0.95655,0.7487,0.8473,0.73775,0.42821,0.354,0.87018,0.000185655,0.000185655,0.000185655
156,3552.45,0.34074,0.24549,0.84218,0.92657,0.7542,0.83822,0.73278,0.41653,0.34925,0.85837,0.000184912,0.000184912,0.000184912
157,3575.25,0.33079,0.24407,0.83751,0.9465,0.75858,0.83899,0.73676,0.42053,0.33644,0.8646,0.00018417,0.00018417,0.00018417
158,3598.15,0.33125,0.23815,0.83719,0.92867,0.75022,0.8412,0.73402,0.42367,0.35087,0.87164,0.000183427,0.000183427,0.000183427
159,3620.88,0.33116,0.24186,0.83763,0.93672,0.75719,0.83715,0.731,0.42607,0.34903,0.87343,0.000182685,0.000182685,0.000182685
160,3643.68,0.33689,0.24123,0.84164,0.94235,0.75104,0.83373,0.72968,0.43308,0.35642,0.8819,0.000181942,0.000181942,0.000181942
161,3666.37,0.32525,0.23483,0.83751,0.95267,0.74575,0.84467,0.73338,0.43466,0.36002,0.87638,0.0001812,0.0001812,0.0001812
162,3689.17,0.33342,0.24381,0.84163,0.93995,0.76098,0.84043,0.72384,0.44197,0.3721,0.88364,0.000180457,0.000180457,0.000180457
163,3711.78,0.33313,0.2407,0.84085,0.94634,0.74764,0.84689,0.73232,0.43001,0.35823,0.87814,0.000179715,0.000179715,0.000179715
164,3734.86,0.33204,0.24331,0.83529,0.92436,0.75618,0.83949,0.72993,0.42299,0.34789,0.8695,0.000178973,0.000178973,0.000178973
165,3757.5,0.33037,0.24021,0.83841,0.92919,0.75203,0.83637,0.73172,0.42395,0.35161,0.86823,0.00017823,0.00017823,0.00017823
166,3780.15,0.3297,0.23561,0.83799,0.92301,0.76508,0.8354,0.72652,0.42583,0.33886,0.87371,0.000177487,0.000177487,0.000177487
167,3803.15,0.33361,0.24295,0.83806,0.93474,0.76348,0.84651,0.73205,0.42575,0.34908,0.87172,0.000176745,0.000176745,0.000176745
168,3825.93,0.33019,0.23566,0.83824,0.93309,0.75791,0.83843,0.72745,0.42609,0.35432,0.88063,0.000176003,0.000176003,0.000176003
169,3848.51,0.3312,0.24341,0.8397,0.9487,0.75238,0.83412,0.72521,0.42616,0.34367,0.86991,0.00017526,0.00017526,0.00017526
170,3872.62,0.33048,0.23547,0.83085,0.95738,0.75459,0.84288,0.73306,0.4248,0.34334,0.87038,0.000174517,0.000174517,0.000174517
171,3895.19,0.33582,0.23815,0.83746,0.93664,0.74905,0.84136,0.73629,0.42891,0.35034,0.8714,0.000173775,0.000173775,0.000173775
172,3917.9,0.32486,0.23315,0.83846,0.94839,0.74844,0.83536,0.73222,0.43229,0.37337,0.88046,0.000173033,0.000173033,0.000173033
173,3940.58,0.32878,0.23594,0.83578,0.92964,0.74523,0.83177,0.72827,0.42508,0.36673,0.88221,0.00017229,0.00017229,0.00017229
174,3963.19,0.3336,0.24116,0.83911,0.95239,0.74186,0.83654,0.72952,0.42152,0.35953,0.87619,0.000171547,0.000171547,0.000171547
175,3985.85,0.326,0.23346,0.83634,0.95482,0.73979,0.84158,0.73716,0.41773,0.34332,0.87634,0.000170805,0.000170805,0.000170805
176,4008.59,0.3213,0.23047,0.83288,0.94484,0.74882,0.8385,0.72837,0.42919,0.35125,0.8769,0.000170062,0.000170062,0.000170062
177,4031.18,0.3216,0.23188,0.83545,0.94068,0.75466,0.83852,0.72933,0.4309,0.35043,0.88205,0.00016932,0.00016932,0.00016932
178,4053.82,0.32461,0.23361,0.83934,0.94294,0.75534,0.83504,0.72443,0.42642,0.3471,0.88401,0.000168577,0.000168577,0.000168577
179,4076.5,0.32501,0.23521,0.83804,0.93744,0.7518,0.83351,0.73184,0.40964,0.34053,0.86669,0.000167835,0.000167835,0.000167835
180,4100.16,0.32019,0.23174,0.83781,0.92496,0.76143,0.83166,0.731,0.41997,0.35549,0.87242,0.000167092,0.000167092,0.000167092
181,4122.61,0.3266,0.23535,0.83744,0.94319,0.74155,0.83436,0.73701,0.40483,0.34375,0.86111,0.00016635,0.00016635,0.00016635
182,4145.29,0.32733,0.23227,0.83715,0.93133,0.75263,0.83231,0.73604,0.40794,0.34246,0.8645,0.000165607,0.000165607,0.000165607
