epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1850.4,0.73156,0.53857,0.99673,0.91637,0.7018,0.78933,0.64234,0.60352,0.49736,0.91491,0.00023961,0.00023961,0.00023961
63,1880.54,0.73472,0.54289,0.99682,0.89185,0.73815,0.79312,0.63577,0.62613,0.49848,0.91867,0.00023862,0.00023862,0.00023862
64,1909.62,0.72586,0.52759,0.99177,0.92229,0.67715,0.78325,0.62839,0.60999,0.52989,0.93829,0.00023763,0.00023763,0.00023763
65,1938.43,0.72438,0.52791,0.98716,0.93984,0.68468,0.79213,0.63811,0.60869,0.49778,0.92361,0.00023664,0.00023664,0.00023664
66,1967.66,0.71562,0.52059,0.98187,0.90656,0.71783,0.79783,0.63856,0.63287,0.49658,0.91838,0.00023565,0.00023565,0.00023565
67,1996.59,0.70527,0.52033,0.97803,0.90397,0.71573,0.79539,0.64962,0.58097,0.48325,0.90351,0.00023466,0.00023466,0.00023466
68,2025.83,0.70536,0.51831,0.98236,0.92337,0.71581,0.79985,0.64679,0.58976,0.49788,0.91741,0.00023367,0.00023367,0.00023367
69,2054.91,0.70123,0.5156,0.9734,0.92728,0.7025,0.7936,0.63832,0.64029,0.50164,0.92707,0.00023268,0.00023268,0.00023268
70,2083.87,0.71022,0.52191,0.9828,0.87212,0.72837,0.80136,0.64654,0.63361,0.4923,0.93614,0.00023169,0.00023169,0.00023169
71,2112.55,0.70433,0.50324,0.9925,0.93321,0.7087,0.80497,0.64834,0.62964,0.47838,0.92584,0.0002307,0.0002307,0.0002307
72,2140.85,0.71847,0.52109,0.97912,0.91478,0.71977,0.79553,0.64264,0.59391,0.48943,0.92433,0.00022971,0.00022971,0.00022971
73,2170.25,0.70011,0.49718,0.97548,0.90032,0.72684,0.80281,0.64476,0.60082,0.48301,0.9298,0.00022872,0.00022872,0.00022872
74,2199.03,0.707,0.51474,0.9807,0.93872,0.70655,0.80531,0.6528,0.63545,0.4805,0.91985,0.00022773,0.00022773,0.00022773
75,2229.43,0.69395,0.50302,0.97936,0.93875,0.70447,0.79426,0.64501,0.60787,0.51058,0.91182,0.00022674,0.00022674,0.00022674
76,2258.65,0.68163,0.49329,0.96224,0.93494,0.68524,0.78651,0.64383,0.58749,0.49081,0.90671,0.00022575,0.00022575,0.00022575
77,2288.61,0.68841,0.50983,0.97429,0.93187,0.71735,0.80356,0.65083,0.60106,0.47929,0.90987,0.00022476,0.00022476,0.00022476
78,2317.05,0.69313,0.49866,0.97344,0.89649,0.71541,0.79699,0.64101,0.59514,0.49782,0.93238,0.00022377,0.00022377,0.00022377
79,2345.84,0.67437,0.50216,0.97612,0.91291,0.70667,0.79691,0.64732,0.61195,0.52068,0.94113,0.00022278,0.00022278,0.00022278
80,2375.02,0.69813,0.51419,0.97779,0.92412,0.70746,0.79936,0.63971,0.65329,0.49553,0.93439,0.00022179,0.00022179,0.00022179
81,2404.06,0.69189,0.50522,0.97989,0.88224,0.71655,0.79118,0.64278,0.59202,0.50031,0.91289,0.0002208,0.0002208,0.0002208
82,2433.28,0.67244,0.48894,0.96843,0.88157,0.71715,0.79789,0.65106,0.59251,0.48985,0.91451,0.00021981,0.00021981,0.00021981
83,2462.47,0.67914,0.49174,0.97082,0.88431,0.72572,0.80087,0.64804,0.58679,0.49654,0.92151,0.00021882,0.00021882,0.00021882
84,2491.73,0.67048,0.48517,0.96506,0.88928,0.72303,0.79984,0.6488,0.58717,0.48335,0.91837,0.00021783,0.00021783,0.00021783
85,2520.59,0.6699,0.47656,0.95925,0.92044,0.71976,0.80664,0.66047,0.59415,0.48053,0.91037,0.00021684,0.00021684,0.00021684
86,2549.87,0.67332,0.48059,0.96875,0.92491,0.70785,0.79967,0.65816,0.57616,0.48039,0.9097,0.00021585,0.00021585,0.00021585
87,2579.18,0.66634,0.47878,0.96174,0.94218,0.70486,0.8044,0.66392,0.55297,0.46835,0.90317,0.00021486,0.00021486,0.00021486
88,2608.89,0.66056,0.47688,0.96054,0.91943,0.7246,0.8061,0.66637,0.55438,0.46033,0.90541,0.00021387,0.00021387,0.00021387
89,2638.81,0.64068,0.46899,0.9594,0.91657,0.71524,0.80224,0.65786,0.59722,0.49044,0.91023,0.00021288,0.00021288,0.00021288
90,2667.84,0.66802,0.4956,0.97653,0.92873,0.72301,0.81148,0.66025,0.60241,0.47585,0.90273,0.00021189,0.00021189,0.00021189
91,2696.94,0.69851,0.48679,0.97875,0.89134,0.74333,0.81225,0.6715,0.56314,0.45013,0.89919,0.0002109,0.0002109,0.0002109
92,2726.56,0.6659,0.47589,0.95509,0.92801,0.71657,0.80742,0.66905,0.54426,0.46159,0.89567,0.00020991,0.00020991,0.00020991
93,2755.83,0.65753,0.46874,0.96496,0.8984,0.72845,0.80592,0.65773,0.58887,0.46251,0.90386,0.00020892,0.00020892,0.00020892
94,2784.7,0.63543,0.46279,0.95899,0.87063,0.74391,0.80516,0.65171,0.56693,0.48116,0.91801,0.00020793,0.00020793,0.00020793
95,2813.44,0.65949,0.48174,0.95967,0.91985,0.72112,0.80945,0.67456,0.54111,0.45759,0.89753,0.00020694,0.00020694,0.00020694
96,2844.79,0.64861,0.46985,0.95994,0.91732,0.72028,0.81068,0.66627,0.57626,0.44558,0.89565,0.00020595,0.00020595,0.00020595
97,2874.17,0.65533,0.46725,0.96027,0.92511,0.71247,0.80667,0.66271,0.58845,0.46773,0.91729,0.00020496,0.00020496,0.00020496
98,2903.08,0.65352,0.46552,0.95835,0.89911,0.72956,0.81019,0.67125,0.56601,0.44815,0.90594,0.00020397,0.00020397,0.00020397
99,2932.21,0.64345,0.4704,0.96552,0.91363,0.73646,0.81882,0.66983,0.58107,0.4613,0.89659,0.00020298,0.00020298,0.00020298
100,2961.3,0.64343,0.4627,0.95454,0.90706,0.73839,0.81079,0.65876,0.59883,0.45113,0.9105,0.00020199,0.00020199,0.00020199
101,2989.62,0.64113,0.46175,0.95039,0.89848,0.71657,0.80159,0.66152,0.5608,0.45993,0.90979,0.000201,0.000201,0.000201
102,3018.52,0.64937,0.46725,0.95775,0.90051,0.74146,0.81935,0.6718,0.56475,0.44861,0.90124,0.00020001,0.00020001,0.00020001
103,3047.99,0.64396,0.45898,0.95333,0.92941,0.72246,0.81365,0.66823,0.56253,0.44716,0.9036,0.00019902,0.00019902,0.00019902
104,3076.47,0.62422,0.44039,0.94337,0.90537,0.72274,0.80914,0.66928,0.53775,0.45131,0.90187,0.00019803,0.00019803,0.00019803
105,3105.28,0.62265,0.44141,0.9466,0.92022,0.71758,0.80826,0.66684,0.56358,0.43862,0.90788,0.00019704,0.00019704,0.00019704
106,3134.2,0.65486,0.45666,0.95827,0.92335,0.72532,0.80828,0.6584,0.57245,0.45494,0.90827,0.00019605,0.00019605,0.00019605
107,3162.88,0.61784,0.42974,0.94394,0.92293,0.72056,0.80794,0.66065,0.56248,0.44036,0.90914,0.00019506,0.00019506,0.00019506
108,3191.99,0.63625,0.4434,0.94929,0.91053,0.72732,0.8142,0.67521,0.54101,0.44595,0.89941,0.00019407,0.00019407,0.00019407
109,3221.41,0.6096,0.43354,0.94544,0.88304,0.73571,0.80692,0.66352,0.56831,0.43449,0.90646,0.00019308,0.00019308,0.00019308
110,3250.62,0.65344,0.46613,0.96018,0.92462,0.73732,0.81001,0.67168,0.54991,0.42741,0.89257,0.00019209,0.00019209,0.00019209
111,3279.68,0.6291,0.44555,0.95145,0.91052,0.73214,0.81291,0.67076,0.53689,0.44114,0.9001,0.0001911,0.0001911,0.0001911
112,3308.45,0.62575,0.44167,0.94475,0.90646,0.74137,0.81275,0.67825,0.52091,0.40782,0.89056,0.00019011,0.00019011,0.00019011
113,3337.82,0.6136,0.44133,0.94622,0.94599,0.71575,0.81764,0.67722,0.54658,0.44723,0.90742,0.00018912,0.00018912,0.00018912
114,3366.52,0.62716,0.44777,0.94836,0.93884,0.72583,0.81571,0.68253,0.53408,0.43031,0.89702,0.00018813,0.00018813,0.00018813
115,3395.66,0.62325,0.43796,0.93855,0.94923,0.70949,0.81146,0.67175,0.52945,0.43626,0.8951,0.00018714,0.00018714,0.00018714
116,3424.52,0.61887,0.43414,0.94439,0.93009,0.72078,0.8113,0.67542,0.54128,0.42377,0.8927,0.00018615,0.00018615,0.00018615
117,3455.12,0.62248,0.44491,0.9517,0.93292,0.73185,0.82167,0.68151,0.53298,0.42457,0.88869,0.00018516,0.00018516,0.00018516
118,3484.6,0.61633,0.43623,0.94359,0.93347,0.72937,0.81607,0.67689,0.54596,0.42797,0.89578,0.00018417,0.00018417,0.00018417
119,3513.07,0.61521,0.4308,0.94245,0.92843,0.73596,0.82262,0.6801,0.54261,0.44525,0.89692,0.00018318,0.00018318,0.00018318
120,3542.39,0.61999,0.43571,0.94581,0.94126,0.72084,0.83278,0.68884,0.53041,0.41726,0.89122,0.00018219,0.00018219,0.00018219
121,3572.2,0.62089,0.43544,0.94046,0.90154,0.73368,0.81792,0.67009,0.55887,0.42623,0.91669,0.0001812,0.0001812,0.0001812
122,3601.63,0.61997,0.43726,0.95592,0.90556,0.72604,0.80854,0.67408,0.54932,0.44253,0.90237,0.00018021,0.00018021,0.00018021
